"ID ";"Business line";"Ad channel";"Revenues";"Costs";"Country";"Currency";"Date";"Client";"Points of sale";"Connected points"
"001/18";"HARDWARE";;116141;113818;"ES";"EUR";03/10/2012;"CO S.A.";8;23
"001/18";"INSTALLATION";;8874;8164;"ES";"EUR";03/10/2012;"CO S.A.";3;27
"001/18";"MAINTENANCE";;67218;60496;"ES";"EUR";03/10/2012;"CO S.A.";5;15
"001/18";"SOFTWARE";;16306;8153;"ES";"EUR";03/10/2012;"CO S.A.";1;7
"001/18";"CONTENT";;5999;3000;"ES";"EUR";03/10/2012;"CO S.A.";10;14
"001/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";03/10/2012;"CO S.A.";4;24
"001/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";03/10/2012;"CO S.A.";3;22
"001/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";03/10/2012;"CO S.A.";9;28
"001/19";"ADVERTISING";"Canal Azul";11398;7409;"CO";"Peso CO";02/10/2013;"ALVIEDO";9;15
"002/18";"HARDWARE";;116141;113818;"ES";"EUR";03/10/2012;"CO S.A.";1;19
"002/18";"INSTALLATION";;8874;8164;"ES";"EUR";03/10/2012;"CO S.A.";3;10
"002/18";"MAINTENANCE";;67218;60496;"ES";"EUR";03/10/2012;"CO S.A.";2;2
"002/18";"SOFTWARE";;16306;8153;"ES";"EUR";03/10/2012;"CO S.A.";2;28
"002/18";"CONTENT";;5999;3000;"ES";"EUR";03/10/2012;"CO S.A.";4;19
"002/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";03/10/2012;"CO S.A.";4;25
"002/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";03/10/2012;"CO S.A.";10;19
"002/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";03/10/2012;"CO S.A.";8;9
"002/19";"ADVERTISING";"Canal Azul";44701;29056;"MX";"Peso MX";02/10/2013;"EMADERA";1;10
"003/18";"HARDWARE";;116141;113818;"ES";"EUR";03/10/2012;"CO S.A.";10;14
"003/18";"INSTALLATION";;8874;8164;"ES";"EUR";03/10/2012;"CO S.A.";1;14
"003/18";"MAINTENANCE";;67218;60496;"ES";"EUR";03/10/2012;"CO S.A.";8;8
"003/18";"SOFTWARE";;16306;8153;"ES";"EUR";03/10/2012;"CO S.A.";5;8
"003/18";"CONTENT";;5999;3000;"ES";"EUR";03/10/2012;"CO S.A.";10;27
"003/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";03/10/2012;"CO S.A.";6;29
"003/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";03/10/2012;"CO S.A.";4;30
"003/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";03/10/2012;"CO S.A.";5;18
"003/19";"ADVERTISING";"Canal Azul";7977;5185;"IT";"EUR";02/10/2013;"IN.L.U.";1;9
"004/18";"HARDWARE";;116141;113818;"ES";"EUR";03/10/2012;"CO S.A.";1;4
"004/18";"INSTALLATION";;8874;8164;"ES";"EUR";03/10/2012;"CO S.A.";10;14
"004/18";"MAINTENANCE";;67218;60496;"ES";"EUR";03/10/2012;"CO S.A.";9;18
"004/18";"SOFTWARE";;16306;8153;"ES";"EUR";03/10/2012;"CO S.A.";2;19
"004/18";"CONTENT";;5999;3000;"ES";"EUR";03/10/2012;"CO S.A.";2;6
"004/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";03/10/2012;"CO S.A.";1;9
"004/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";03/10/2012;"CO S.A.";10;14
"004/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";03/10/2012;"CO S.A.";5;25
"004/19";"ADVERTISING";"Canal Azul";22090;14358;"ES";"EUR";02/10/2013;"CEURIAS";4;7
"005/18";"HARDWARE";;4;4;"CO";"Peso CO";03/10/2012;"TR S.L.";4;20
"005/18";"INSTALLATION";;4;4;"CO";"Peso CO";03/10/2012;"TR S.L.";4;21
"005/18";"MAINTENANCE";;4;4;"CO";"Peso CO";03/10/2012;"TR S.L.";3;29
"005/18";"SOFTWARE";;4;2;"CO";"Peso CO";03/10/2012;"TR S.L.";6;14
"005/18";"CONTENT";;17;9;"CO";"Peso CO";03/10/2012;"TR S.L.";9;18
"005/18";"ADVERTISING";"Canal Azul";4;3;"CO";"Peso CO";03/10/2012;"TR S.L.";7;7
"005/18";"ADVERTISING";"Canal Verde";4;3;"CO";"Peso CO";03/10/2012;"TR S.L.";4;10
"005/18";"ADVERTISING";"Canal Rojo";4;3;"CO";"Peso CO";03/10/2012;"TR S.L.";6;11
"005/19";"ADVERTISING";"Canal Azul";75200;48880;"MX";"Peso MX";02/10/2013;"JOLLERO";8;13
"006/18";"HARDWARE";;116141;113818;"ES";"EUR";04/10/2012;"CO S.A.";8;17
"006/18";"INSTALLATION";;8874;8164;"ES";"EUR";04/10/2012;"CO S.A.";2;19
"006/18";"MAINTENANCE";;67218;60496;"ES";"EUR";04/10/2012;"CO S.A.";4;14
"006/18";"SOFTWARE";;16306;8153;"ES";"EUR";04/10/2012;"CO S.A.";10;29
"006/18";"CONTENT";;5999;3000;"ES";"EUR";04/10/2012;"CO S.A.";1;6
"006/18";"ADVERTISING";"Canal Azul";4;3;"ES";"EUR";04/10/2012;"CO S.A.";2;15
"006/18";"ADVERTISING";"Canal Verde";4;3;"ES";"EUR";04/10/2012;"CO S.A.";4;21
"006/18";"ADVERTISING";"Canal Rojo";4;3;"ES";"EUR";04/10/2012;"CO S.A.";9;14
